ID,模块,功能名称,功能描述,优先级,负责人,状态,验收要点,开发备注
SYS-01,基础,启动入口与模式选择,解析启动参数；无参数进入 CLI；--tui 选择可选界面,P0,Lvzhen ZHOU,开发中,--help 无数据库也可查看；CLI 不导入 TUI 库；TUI 未就绪明确提示并非零退出,
SYS-02,基础,CLI 菜单导航,按登录身份显示模块入口并支持返回与退出,P0,Lvzhen ZHOU,开发中,合法选择进入对应操作；0 按约定返回或退出；未实现操作显示待接入提示且不伪装成功,
SYS-03,基础,数据库建表与结构版本,通过显式操作初始化表结构并检查已应用版本,P0,Lvzhen ZHOU,待验收,空库可初始化；重复执行不覆盖业务数据；普通启动不自动改表,演示数据拆至 SYS-05
SYS-04,基础,配置与数据库连接检查,读取数据库等环境配置并在启动时检查必要配置和连接,P0,Lvzhen ZHOU,待验收,缺配置提示具体配置项；连接失败不给出伪成功；提示和日志不含凭据,由 SYS-01 拆分
SYS-05,基础,合成演示数据初始化,显式生成账号及各已实现模块的合成演示资料,P0,Lvzhen ZHOU,待验收,连续执行两次不重复造数据或覆盖已有记录；不生成真实个人资料,由 SYS-03 拆分；随模块完成逐步补齐种子数据
SYS-06,基础,退出与资源释放,正常退出及 Ctrl+C 或输入结束时关闭数据库和交互资源,P0,Lvzhen ZHOU,开发中,已提交数据重启仍存在；未提交事务不遗留半条业务；终端可继续使用,由 SYS-02 拆分
UI-01,可选界面,TUI 入口与页面,通过 --tui 进入终端界面并调用共用业务服务,P2,Lvzhen ZHOU,待确认,已接入功能与 CLI 的业务结果一致；缺可选依赖不影响默认 CLI,时间允许时实现；不阻塞 CLI 交付
UI-02,基础,CLI 公共输入与显示,统一数字和日期输入及确认取消和分页格式,P0,Lvzhen ZHOU,待验收,非法格式可重输；取消不调用写服务；空列表有说明；分页不漏项或重复,由 SYS-02 拆分
AUTH-01,账号与权限,登录,校验用户名及密码并取得当前操作者身份,P0,Jiafeng YE,待开发,正确凭据可登录；错误或停用账号被拒绝；错误提示不泄露账号存在性；密码不去空白或转小写，按原值认证,退出登录拆至 AUTH-06
AUTH-02,账号与权限,角色与数据归属检查,在每个公开业务服务检查角色和目标数据归属,P0,Jiafeng YE,待开发,直接调用服务也不能绕过；会员不能访问他人记录；教练不能操作他人课次,
AUTH-03,账号与权限,创建账号,管理员创建会员或员工账号并关联适当档案,P0,Jiafeng YE,待开发,用户名重复被拒绝；角色与档案匹配；密码以专用算法哈希保存；密码仅允许 ASCII 字母数字及短横线下划线，共 6–32 位；不要求字符组合,停用和维护拆至 AUTH-04、AUTH-05；2026-09-20 已确定密码格式；暂不检测强度，哈希库采用 argon2-cffi
AUTH-04,账号与权限,停用与恢复账号,管理员更改账号启用状态并保留业务历史,P1,Jiafeng YE,待开发,停用后新登录和后续业务请求均被拒绝；恢复后可登录；历史不被删除,由 AUTH-03 拆分
AUTH-05,账号与权限,账号查询与档案关联,管理员查看账号及角色并维护账号与会员或教练的关联,P1,Jiafeng YE,待开发,不显示密码哈希；目标账号角色不符或已绑定其他档案时拒绝；移交成功后旧账号解除关联；同一关联重复操作不变,由 AUTH-03 拆分
AUTH-06,账号与权限,退出登录,清除当前身份并返回登录入口,P0,Jiafeng YE,待开发,退出后不能沿旧菜单继续操作；下一位登录者不会看到上一人的私有数据,由 AUTH-01 拆分
MEM-01,会员,会员建档,前台或管理员登记姓名与必要联系方式,P0,Xingzhou PENG,待开发,必填项为空时拒绝；成功返回会员编号；重启后仍能查询,
